est,exec_time
715,0.08685469627380371
9,0.07541751861572266
47,0.07433176040649414
16,0.07098054885864258
148550,0.28455281257629395
62682174,1.4281067848205566
11990549,0.6575088500976562
157040505,2.293039083480835
850672,0.23860883712768555
179615,0.1786479949951172
2031641,0.2855536937713623
6333534,0.8222408294677734
1931523,0.5587520599365234
12738224,1.0426068305969238
1224,0.7327070236206055
13221,0.829972505569458
33,0.7294237613677979
1224,0.7275888919830322
114181684,2.513768434524536
4533220,0.9183590412139893
695699,0.8271815776824951
21453330,1.3388738632202148
13354747,1.8425571918487549
4450625,1.4679780006408691
794543,0.8804986476898193
4893238,1.2038331031799316
1381210,0.9412691593170166
8719769,1.396019697189331
2873071,1.0408740043640137
56964051,2.775639295578003
7153,0.2014167308807373
14102,0.11740970611572266
31339019,1.0054974555969238
75440,0.5875730514526367
72,0.30865931510925293
305684,0.5272078514099121
1919479,0.565474271774292
150780,0.670386552810669
3243152,0.5757002830505371
1043758,0.5382122993469238
512575648,5.046379566192627
206778373,2.4651408195495605
625302671,5.9746503829956055
7796880,1.0642814636230469
1830999,1.1335785388946533
2936046,1.3104217052459717
16461430,1.6943862438201904
24675392,1.8563194274902344
132303788,3.7014000415802
90649357,2.84902286529541
151179494,2.759401559829712
84216787,1.865354061126709
333464,0.5492451190948486
307213,0.5271272659301758
658547,0.5453600883483887
8275166,1.0110259056091309
5060603,0.8932056427001953
1352809549,17.391064405441284
191935,1.1089670658111572
9537309225,111.54697155952454
492926017,5.867353200912476
32355559,3.605980157852173
81494733,1.846836805343628
51282842,3.1848394870758057
19006,0.4965963363647461
26718396,1.1558115482330322
15813581,1.1008021831512451
1067496,1.1186058521270752
268172,1.115499496459961
258385195,4.2276222705841064
