truth,execution-time,plan-time
1,34.931,0.586
1,5160.603,0.313
1,842.983,0.305
1,414.612,0.196
1,1427.71,0.317
1,307.459,0.308
1,180.957,0.458
1,284.783,0.338
1,311.856,0.385
1,182.313,0.408
1,117.895,0.415
1,247.692,0.418
1,103.815,0.435
1,29.274,0.415
1,1603.95,0.385
1,107.469,0.43
1,30.66,0.348
1,82.202,0.336
1,42.626,0.213
1,145.67,0.302
1,76.607,0.294
1,567.869,0.363
1,252.808,0.402
1,45.391,0.367
1,160.04,0.878
1,77.22,0.6
1,58.429,0.893
1,2634.777,0.575
1,227.387,0.638
1,51869.247,0.857
1,1460.456,0.846
1,3101.718,1.003
1,157.643,0.99
1,113189.992,0.843
1,571.226,0.892
1,52.048,0.897
1,593.456,0.858
1,15774.532,0.868
1,460.088,0.889
1,67.489,0.608
1,17.771,0.628
1,543.235,0.548
1,1394.591,0.887
1,454.202,0.893
1,19.353,0.874
1,253.104,1.621
1,9608.204,1.766
1,34.923,1.88
1,3768.304,1.792
1,39.998,1.791
1,13971.382,1.77
1,45449.095,1.811
1,238.102,1.026
1,15.679,0.945
1,23.559,1.149
1,3326.226,1.162
1,20.424,1.185
1,2694854.708,2.329
1,13675.761,2.306
1,2093.987,1.688
1,258.595,1.718
1,59.58,1.669
1,37.778,1.678
1,181.005,1.757
1,62.654,1.739
1,289.292,1.743
1,20.394,1.763
1,163567.954,2.072
1,17048.435,2.196
1,23603.906,2.198
1,9814.816,2.143
1,915.441,2.112
1,376.676,2.087
1,6869.049,1.653
1,1201.853,1.697
1,309.689,1.679
1,1262.868,1.705
1,131.702,1.648
1,1043.358,1.661
1,307.873,0.476
1,161.907,0.435
1,432.424,0.386
1,521.064,0.4
1,1789.947,0.479
1,2429.546,0.467
1,256.478,0.566
1,201.829,0.404
1,1652.731,0.393
1,346.547,0.475
1,244.883,0.457
1,818.027,0.443
1,114.189,0.319
1,489.463,0.388
1,309.991,0.378
1,1316.979,0.829
1,858.666,0.884
1,8734.596,0.976
1,8220.425,0.946
1,320.389,0.937
1,243.589,0.604
1,319.199,0.603
1,596.562,0.62
1,921.861,0.976
1,3391.697,1.008
1,37839.054,1.003
1,1405.852,1.027
1,83362.345,0.99
1,111362.522,0.99
1,512.036,1.752
1,520.661,1.72
1,739.583,1.745
1,640.141,1.744
1,3141.19,0.957
1,3221.599,0.998
1,7084.165,0.973
1,237.739,0.989
1,250.119,0.54
1,327.443,0.615
1,443.08,0.921
1,1761110.652,0.934
1,295.96,0.968
1,1795288.807,0.908
1,24803.307,0.93
1,1439.96,0.963
1,93.558,0.962
1,477608.076,0.908
1,207.434,1.843
1,249.289,1.856
1,451.35,1.827
1,108.012,1.052
1,1059.808,1.831
1,210.612,1.87
1,2916.596,1.851
1,42.45,1.892
1,347394.149,1.807
1,55082.002,1.935
1,114.285,0.985
1,3440.395,1.144
1,886.73,1.865
1,18984.343,3.674
1,49413.965,3.638
1,52008.694,3.611
1,24426.498,3.576
1,3894.572,1.853
1,246.859,2.198
1,560.421,2.237
