postgres,postgres-time
79851.0,0.269
40325.0,0.1
134354.0,0.124
79631.0,0.053
134354.0,0.029
43083.0,0.157
174305.0,0.057
42236.0,0.043
134354.0,0.019
328064.0,0.167
79610.0,0.021
42212.0,0.146
174305.0,0.019
90472.0,0.036
11102.0,0.118
134354.0,0.02
89492.0,0.023
9533.0,0.052
174305.0,0.017
91940.0,0.023
303187.0,0.042
171585.0,0.034
5794.0,0.06
40325.0,0.028
134354.0,0.02
17904.0,0.046
38251.0,0.045
174305.0,0.02
303187.0,0.018
37540.0,0.044
172574.0,0.019
328064.0,0.02
39890.0,0.022
168852.0,0.021
1881.0,0.028
31442.0,0.047
133062.0,0.025
79617.0,0.023
40325.0,0.019
134354.0,0.02
79745.0,0.019
38218.0,0.028
91072.0,0.022
1032.0,0.114
328064.0,0.018
91072.0,0.02
11102.0,0.021
300276.0,0.023
91844.0,0.021
11102.0,0.02
40230.0,0.018
293899.0,0.022
88784.0,0.035
40279.0,0.05
327660.0,0.038
87605.0,0.03
39386.0,0.025
328064.0,0.024
91329.0,0.023
39896.0,0.02
328064.0,0.018
79851.0,0.016
39567.0,0.02
1520.0,0.021
79851.0,0.017
39567.0,0.02
172598.0,0.021
91900.0,0.022
11102.0,0.021
261003.0,0.053
168972.0,0.026
91976.0,0.052
11102.0,0.019
39629.0,0.022
134321.0,0.023
91060.0,0.02
1518.0,0.025
38682.0,0.025
328064.0,0.02
91272.0,0.021
79851.0,0.02
40325.0,0.017
327660.0,0.021
6083.0,0.053
78735.0,0.023
38609.0,0.024
328064.0,0.022
37428.0,0.031
79851.0,0.016
40325.0,0.014
325520.0,0.021
42788.0,0.027
74786.0,0.026
39010.0,0.018
172518.0,0.024
270539.0,0.025
324495.0,0.029
39575.0,0.032
174305.0,0.023
303187.0,0.019
1937.0,0.031
29664.0,0.034
24883.0,0.024
328064.0,0.022
79851.0,0.016
40291.0,0.017
134354.0,0.02
1962.0,0.025
79851.0,0.019
37657.0,0.024
134354.0,0.022
1947.0,0.027
79851.0,0.019
39078.0,0.022
174305.0,0.018
11102.0,0.02
275705.0,0.026
328064.0,0.021
131873.0,0.028
42657.0,0.027
78972.0,0.021
40325.0,0.017
133071.0,0.025
66083.0,0.024
79851.0,0.02
38146.0,0.03
10186.0,0.022
87268.0,0.031
38985.0,0.022
79851.0,0.017
10745.0,0.02
759.0,0.035
36452.0,0.028
79572.0,0.018
303187.0,0.02
42310.0,0.029
328064.0,0.02
40325.0,0.014
43720.0,0.02
91969.0,0.022
40049.0,0.026
79851.0,0.018
294268.0,0.024
2690.0,0.043
38855.0,0.029
79851.0,0.018
91785.0,0.02
328064.0,0.022
905.0,0.038
79038.0,0.023
172603.0,0.021
10942.0,0.033
9788.0,0.026
296720.0,0.02
327065.0,0.022
174305.0,0.022
4616.0,0.033
43720.0,0.021
1520.0,0.02
40325.0,0.048
172639.0,0.029
526.0,0.023
79851.0,0.02
328064.0,0.019
31523.0,0.018
25123.0,0.019
90037.0,0.033
1520.0,0.019
78051.0,0.019
39424.0,0.023
25123.0,0.02
2468.0,0.033
328064.0,0.021
79851.0,0.018
35517.0,0.027
172281.0,0.023
42620.0,0.027
91785.0,0.021
77315.0,0.021
39840.0,0.023
174305.0,0.021
1180.0,0.064
303187.0,0.019
78312.0,0.022
37879.0,0.024
173292.0,0.018
11102.0,0.02
42914.0,0.02
40325.0,0.017
79851.0,0.015
174305.0,0.015
9746.0,0.024
1560.0,0.024
38316.0,0.017
79851.0,0.015
1032.0,0.015
91976.0,0.018
39567.0,0.016
303187.0,0.019
77717.0,0.018
1032.0,0.015
91976.0,0.016
40325.0,0.018
328064.0,0.018
79851.0,0.014
1032.0,0.015
91976.0,0.016
39889.0,0.027
1968.0,0.02
79715.0,0.02
91501.0,0.024
11102.0,0.021
67370.0,0.027
325523.0,0.024
79436.0,0.02
36690.0,0.027
6168.0,0.024
10186.0,0.022
91785.0,0.021
325518.0,0.024
79851.0,0.021
37436.0,0.031
174305.0,0.02
91976.0,0.019
11102.0,0.019
328064.0,0.018
79851.0,0.015
39146.0,0.025
172175.0,0.024
12775.0,0.027
9823.0,0.026
260529.0,0.025
79851.0,0.019
37559.0,0.024
8338.0,0.02
5391.0,0.033
11102.0,0.025
328064.0,0.018
79851.0,0.015
40325.0,0.018
134354.0,0.019
42215.0,0.028
9833.0,0.026
1875.0,0.028
79851.0,0.02
35991.0,0.028
173834.0,0.02
1032.0,0.029
10885.0,0.027
287008.0,0.024
324894.0,0.023
40325.0,0.023
132741.0,0.028
4795.0,0.028
11102.0,0.025
69854.0,0.021
328064.0,0.024
38666.0,0.026
172430.0,0.023
90181.0,0.028
11102.0,0.021
87917.0,0.025
1505.0,0.03
38995.0,0.022
132548.0,0.028
1358.0,0.028
10007.0,0.023
43083.0,0.021
328064.0,0.022
38487.0,0.029
174305.0,0.019
91976.0,0.019
11102.0,0.018
303187.0,0.017
324322.0,0.027
79851.0,0.043
134354.0,0.026
41884.0,0.028
10186.0,0.02
303187.0,0.021
326863.0,0.023
79851.0,0.018
172561.0,0.025
2696.0,0.036
11102.0,0.019
303187.0,0.02
258800.0,0.028
78856.0,0.024
174305.0,0.021
91976.0,0.024
11102.0,0.023
91785.0,0.025
34556.0,0.021
79851.0,0.02
134354.0,0.02
91910.0,0.022
11102.0,0.02
1122.0,0.02
328064.0,0.021
77574.0,0.021
172635.0,0.021
41862.0,0.031
11102.0,0.02
283786.0,0.025
1925.0,0.022
79851.0,0.019
174305.0,0.019
8934.0,0.036
303187.0,0.02
328064.0,0.018
79851.0,0.015
40325.0,0.018
133742.0,0.024
17997.0,0.037
303187.0,0.019
328064.0,0.018
79851.0,0.016
38613.0,0.023
174305.0,0.017
19478.0,0.029
91785.0,0.018
261325.0,0.021
79851.0,0.02
36926.0,0.029
174305.0,0.019
2832.0,0.032
303187.0,0.019
34556.0,0.021
78806.0,0.02
39504.0,0.027
174305.0,0.02
6125.0,0.03
303187.0,0.02
1520.0,0.02
79851.0,0.018
40325.0,0.014
134354.0,0.021
5895.0,0.029
303187.0,0.02
325523.0,0.024
79646.0,0.021
39064.0,0.018
172618.0,0.021
41397.0,0.035
39739.0,0.024
134354.0,0.02
6021.0,0.028
40325.0,0.017
171844.0,0.022
303187.0,0.022
39417.0,0.027
174305.0,0.017
303187.0,0.016
39864.0,0.029
172294.0,0.021
324322.0,0.027
39733.0,0.017
174305.0,0.022
327065.0,0.022
36377.0,0.02
134354.0,0.02
328064.0,0.021
39827.0,0.023
91976.0,0.019
172279.0,0.027
79851.0,0.017
39996.0,0.025
133062.0,0.023
79617.0,0.022
40325.0,0.017
303187.0,0.021
91574.0,0.029
39425.0,0.025
275368.0,0.019
12218.0,0.021
37508.0,0.027
299113.0,0.04
90959.0,0.027
40119.0,0.026
303187.0,0.022
88826.0,0.027
38334.0,0.02
328064.0,0.019
46775.0,0.024
40325.0,0.017
328064.0,0.016
91976.0,0.019
38767.0,0.016
174305.0,0.019
303187.0,0.018
327660.0,0.022
91976.0,0.022
132623.0,0.028
300147.0,0.025
261325.0,0.022
91976.0,0.022
172618.0,0.022
2643.0,0.045
328064.0,0.023
39968.0,0.021
174305.0,0.017
42861.0,0.022
325518.0,0.02
38999.0,0.024
134354.0,0.02
42914.0,0.021
328064.0,0.02
39326.0,0.022
174305.0,0.017
41587.0,0.029
328064.0,0.016
39432.0,0.022
133783.0,0.022
87089.0,0.029
327660.0,0.02
40325.0,0.017
328064.0,0.02
42683.0,0.027
79604.0,0.018
40325.0,0.013
328064.0,0.015
42787.0,0.027
79851.0,0.015
39881.0,0.022
174305.0,0.019
297541.0,0.025
328064.0,0.021
39160.0,0.025
132711.0,0.026
303187.0,0.02
328064.0,0.017
40177.0,0.023
171120.0,0.018
91785.0,0.018
328064.0,0.022
36771.0,0.036
24792.0,0.023
34267.0,0.041
77478.0,0.019
40325.0,0.018
24883.0,0.022
328064.0,0.021
79851.0,0.014
40291.0,0.016
134354.0,0.018
9794.0,0.028
303187.0,0.02
324890.0,0.027
91976.0,0.022
134354.0,0.02
10405.0,0.027
303187.0,0.019
328064.0,0.017
91976.0,0.017
174305.0,0.015
10058.0,0.024
273005.0,0.018
325518.0,0.022
91976.0,0.023
174305.0,0.018
9599.0,0.027
303187.0,0.018
324322.0,0.027
91976.0,0.02
173546.0,0.019
303187.0,0.018
79851.0,0.015
38981.0,0.022
174305.0,0.016
87282.0,0.022
78835.0,0.018
36965.0,0.031
171063.0,0.019
303187.0,0.02
77852.0,0.019
39864.0,0.026
8338.0,0.029
295733.0,0.055
79851.0,0.02
40067.0,0.027
300270.0,0.023
42914.0,0.027
261325.0,0.022
39258.0,0.025
286768.0,0.021
19724.0,0.03
322368.0,0.029
37574.0,0.023
69854.0,0.02
40659.0,0.029
39915.0,0.021
79684.0,0.019
300278.0,0.02
90959.0,0.021
39780.0,0.021
79851.0,0.018
85343.0,0.027
5954.0,0.035
38875.0,0.024
79242.0,0.028
298985.0,0.024
47726.0,0.027
40325.0,0.017
79851.0,0.015
303187.0,0.017
6095.0,0.026
40265.0,0.017
79851.0,0.016
303187.0,0.015
326863.0,0.023
39645.0,0.028
79744.0,0.019
43083.0,0.021
327660.0,0.024
33887.0,0.029
78903.0,0.019
303187.0,0.022
328064.0,0.017
40325.0,0.017
79851.0,0.014
134354.0,0.021
13012.0,0.028
9276.0,0.03
303187.0,0.022
261325.0,0.022
172603.0,0.023
10942.0,0.034
9788.0,0.026
296720.0,0.021
327065.0,0.024
173563.0,0.025
19501.0,0.034
11102.0,0.023
303187.0,0.018
261325.0,0.037
172200.0,0.05
91620.0,0.043
10186.0,0.035
300169.0,0.028
38978.0,0.043
8338.0,0.026
41572.0,0.044
299134.0,0.033
1955.0,0.04
37652.0,0.038
174305.0,0.025
19852.0,0.047
88251.0,0.037
1863.0,0.047
37690.0,0.041
174305.0,0.022
303187.0,0.021
77684.0,0.04
1947.0,0.038
36691.0,0.045
134354.0,0.025
12344.0,0.065
294058.0,0.022
79851.0,0.02
20269.0,0.026
134354.0,0.02
190.0,0.035
303187.0,0.021
79851.0,0.015
40325.0,0.012
169158.0,0.024
2835.0,0.035
303187.0,0.018
79851.0,0.016
39311.0,0.024
174262.0,0.018
8831.0,0.03
5619.0,0.04
40325.0,0.014
79851.0,0.014
1032.0,0.015
91501.0,0.022
40325.0,0.016
328064.0,0.018
79193.0,0.02
174305.0,0.019
89827.0,0.024
9991.0,0.059
328036.0,0.028
77622.0,0.026
40325.0,0.019
134354.0,0.028
2833.0,0.032
9749.0,0.039
303187.0,0.022
321374.0,0.027
78514.0,0.025
40325.0,0.016
174305.0,0.018
90607.0,0.029
10186.0,0.021
303187.0,0.019
328064.0,0.018
79851.0,0.017
40325.0,0.013
133056.0,0.028
19947.0,0.031
10837.0,0.028
302472.0,0.021
324894.0,0.033
79851.0,0.021
40325.0,0.014
172133.0,0.025
6076.0,0.027
10186.0,0.022
303187.0,0.022
260368.0,0.028
75849.0,0.021
40325.0,0.018
174305.0,0.019
42916.0,0.025
303187.0,0.02
328064.0,0.021
79658.0,0.023
39863.0,0.027
174305.0,0.021
19785.0,0.034
10609.0,0.028
69854.0,0.02
324923.0,0.026
40204.0,0.024
172620.0,0.02
90515.0,0.032
10586.0,0.022
291510.0,0.022
328064.0,0.024
40325.0,0.023
